Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
12:53 AM,54 °F,54 °F,100 %,N,5 mph,0 mph,29.81 in,0.0 in,Light Rain
1:53 AM,54 °F,54 °F,100 %,N,6 mph,0 mph,29.81 in,0.1 in,Light Rain
2:53 AM,54 °F,53 °F,97 %,N,3 mph,0 mph,29.80 in,0.1 in,Light Rain
3:53 AM,54 °F,53 °F,97 %,NW,5 mph,0 mph,29.78 in,0.0 in,Cloudy
4:53 AM,54 °F,53 °F,97 %,WNW,5 mph,0 mph,29.78 in,0.0 in,Cloudy
5:53 AM,54 °F,53 °F,97 %,NNW,5 mph,0 mph,29.77 in,0.0 in,Cloudy
6:53 AM,54 °F,54 °F,100 %,CALM,0 mph,0 mph,29.77 in,0.0 in,Rain
7:53 AM,54 °F,54 °F,100 %,N,3 mph,0 mph,29.78 in,0.1 in,Light Rain
8:49 AM,55 °F,54 °F,94 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Cloudy
8:53 AM,55 °F,54 °F,96 %,CALM,0 mph,0 mph,29.78 in,0.0 in,Light Rain
9:53 AM,55 °F,53 °F,93 %,CALM,0 mph,0 mph,29.79 in,0.0 in,Cloudy
10:01 AM,55 °F,53 °F,93 %,CALM,0 mph,0 mph,29.79 in,0.0 in,Light Rain
10:26 AM,55 °F,53 °F,93 %,SW,8 mph,0 mph,29.80 in,0.0 in,Light Rain
10:53 AM,55 °F,54 °F,96 %,SSW,10 mph,0 mph,29.81 in,0.0 in,Light Rain
11:53 AM,54 °F,53 °F,97 %,S,17 mph,23 mph,29.82 in,0.0 in,Light Rain
11:57 AM,54 °F,53 °F,97 %,S,17 mph,24 mph,29.82 in,0.0 in,Light Rain
12:00 PM,54 °F,53 °F,97 %,SSW,15 mph,24 mph,29.82 in,0.0 in,Light Rain
12:07 PM,54 °F,53 °F,97 %,SSW,13 mph,0 mph,29.82 in,0.0 in,Light Rain
12:53 PM,54 °F,53 °F,97 %,SSW,15 mph,24 mph,29.84 in,0.0 in,Light Rain
1:53 PM,53 °F,52 °F,96 %,SSW,17 mph,26 mph,29.86 in,0.0 in,Light Rain
2:53 PM,53 °F,52 °F,96 %,SSW,15 mph,0 mph,29.88 in,0.0 in,Light Rain
3:51 PM,54 °F,52 °F,94 %,SSW,10 mph,0 mph,29.89 in,0.0 in,Light Rain
3:53 PM,54 °F,52 °F,93 %,SSW,12 mph,0 mph,29.89 in,0.0 in,Light Rain
4:27 PM,53 °F,52 °F,96 %,SSW,12 mph,21 mph,29.89 in,0.0 in,Cloudy
4:53 PM,53 °F,52 °F,96 %,SSW,10 mph,0 mph,29.88 in,0.0 in,Cloudy
5:53 PM,53 °F,52 °F,96 %,SSW,12 mph,0 mph,29.89 in,0.0 in,Light Rain
6:12 PM,53 °F,52 °F,96 %,SSW,13 mph,0 mph,29.89 in,0.0 in,Light Rain
6:33 PM,53 °F,52 °F,96 %,SSW,10 mph,0 mph,29.90 in,0.0 in,Cloudy
6:53 PM,53 °F,52 °F,96 %,SSW,10 mph,0 mph,29.89 in,0.0 in,Light Rain
7:53 PM,53 °F,52 °F,96 %,SSW,10 mph,0 mph,29.89 in,0.0 in,Cloudy
8:53 PM,53 °F,52 °F,96 %,SSW,9 mph,0 mph,29.88 in,0.0 in,Cloudy
9:53 PM,53 °F,52 °F,96 %,SSW,9 mph,0 mph,29.89 in,0.0 in,Light Rain
10:37 PM,53 °F,51 °F,93 %,SSW,5 mph,0 mph,29.88 in,0.0 in,Cloudy
10:46 PM,53 °F,51 °F,93 %,SSW,8 mph,0 mph,29.88 in,0.0 in,Cloudy
10:53 PM,53 °F,51 °F,93 %,SSW,6 mph,0 mph,29.88 in,0.0 in,Cloudy
11:00 PM,53 °F,51 °F,93 %,SSW,7 mph,0 mph,29.88 in,0.0 in,Cloudy
11:14 PM,53 °F,51 °F,93 %,SSW,9 mph,0 mph,29.88 in,0.0 in,Cloudy
11:28 PM,53 °F,52 °F,96 %,SSW,8 mph,0 mph,29.88 in,0.0 in,Light Rain
11:53 PM,53 °F,52 °F,96 %,SSW,6 mph,0 mph,29.88 in,0.0 in,Light Rain
